track_name,artist,album,release_date,duration,popularity,explicit,lyrics,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mood,negative,neutral,positive,compound
Blinding Lights,The Weeknd,After Hours,2020-03-20,200040,90,0,yeah tryna call long enough mayb show love mayb go withdraw even much turn touch babi look around sin citi cold empti oh one around judg oh see clearli gone said ooh blind light sleep feel touch said ooh drown night oh like one trust hey hey hey run time see sun light sky hit road overdr babi oh might also like citi cold empti oh one around judg oh see clearli gone said ooh blind light sleep feel touch said ooh drown night oh like one trust call back let know back let know could never say phone say phone never let go time ooh said ooh blind light sleep feel touch hey hey hey hey hey hey said ooh blind light sleep feel touch,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4.0,0,0.141,0.726,0.133,-0.3182
Shape of You,Ed Sheeran,÷ (Deluxe),2017-03-03,233712,86,0,club best place find lover bar go mm friend tabl shot drinkin fast talk slow mm come start convers trust give chanc mm take hand stop put van man jukebox start danc singin like girl know want love love handmad somebodi like well come follow lead may crazi mind say boy let us talk much grab waist put bodi well come follow lead come come follow lead mm love shape push pull like magnet although heart fallin love bodi last night room bed sheet smell like everi day discoverin someth brand new well love bodi see ed sheeran liveget ticket low might also like oh oh oh oh well love bodi oh oh oh oh well love bodi oh oh oh oh well love bodi everi day discoverin someth brand new love shape one week let stori begin go first date mm thrifti go allyoucaneat fill bag fill plate mm talk hour hour sweet sour famili okay mm leav get taxi kiss back seat tell driver make radio play singin like girl know want love love handmad somebodi like well come follow lead may crazi mind say boy let us talk much grab waist put bodi well come follow lead come come follow lead mm love shape push pull like magnet although heart fallin love bodi last night room bed sheet smell like everi day discoverin someth brand new well love bodi oh oh oh oh well love bodi oh oh oh oh well love bodi oh oh oh oh well love bodi everi day discoverin someth brand new love shape come babi come come babi come come babi come come babi come come babi come come babi come come babi come come babi come love shape push pull like magnet although heart fallin love bodi last night room bed sheet smell like everi day discoverin someth brand new well love bodi come babi come come babi come love bodi come babi come come babi come love bodi come babi come come babi come love bodi everi day discoverin someth brand new love shape,0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,4.0,1,0.009,0.574,0.417,0.9996
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,2019-05-17,182160,89,0,go time fear one save noth realli got way drive crazi need somebodi hear somebodi know somebodi somebodi hold easi say never guess kind like way numb pain day bleed nightfal get let guard pull rug get kind use someon love go time fear one turn noth way love got sleep without need somebodi know somebodi hear somebodi know feel easi say never guess kind like way help escap day bleed nightfal get let guard pull rug get kind use someon love might also like tend close eye hurt sometim fall arm safe sound till come back around day bleed nightfal get let guard pull rug get kind use someon love day bleed nightfal get let guard pull rug get kind use someon love let guard pull rug get kind use someon love,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,4.0,0,0.135,0.58,0.285,0.9852
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Hollywood's Bleeding,2019-09-06,157560,85,0,ayi ayi ayi ayi ooh ooh ooh ooh ooh ooh ayi ayi ooh ooh ooh ooh needless say keep check badbad nevertheless yeah callin quit babi wreck wreck crash place babi wreck wreck needless say keep check badbad nevertheless callin quit babi wreck crash place babi wreck thinkin bad way losin grip screamin face babi trip someon took big l know felt lookin sideway parti tilt oohooh thing refus want ride like cruis tryna lose left dust unless stuck ya sunflow think love would much left dust unless stuck ya sunflow sunflow might also like everi time leavin ya ooh make easi wish could ya ooh give reason oh oh everi time walkin oh hear tellin turn around oh oh fightin trust back even got risk right oh know scare unknown known want alon alon know alway come go go control left dust unless stuck ya sunflow think love would much left dust unless stuck ya sunflow sunflow yeah,0.755,0.522,2.0,-4.368,1.0,0.0575,0.533,0.0,0.0685,0.925,89.96,4.0,1,0.208,0.648,0.144,-0.8979
As It Was,Harry Styles,Harry's House,2022-05-20,167303,91,0,come harri want say goodnight holdin back graviti holdin back want hold palm hand leav noth say everyth get way seem replac one stay ohohoh world us know world us know know answer phone harri good alon sit home floor kind pill ringin bell nobodi come help daddi live want know well ohohoh might also like world us know world us know know go home get ahead lightspe internet want talk way leav america two kid follow want talk first hey know,0.52,0.731,6.0,-5.338,0.0,0.0557,0.342,0.00101,0.311,0.662,173.93,4.0,1,0.0,0.753,0.247,0.9538
One Dance,Drake,Views,2016-05-06,173986,89,0,babi like style grip waist front way back way know play street safe never run away even away oti oti never much love go ot pray make back one piec pray pray need one danc got hennessi hand one time fore go higher power take hold need one danc got hennessi hand one time fore go higher power take hold babi like style might also like strength guidanc wish friend nobodi make end bust silenc know got stick soon see text repli want spend time fight got time need one danc got hennessi hand one time fore go higher power take hold need one danc got hennessi hand one time fore go higher power take hold got pretti girl love long time wine wine love long time oh yeah long time back back back wine back back wine girl back back back wine oh yeah long time back back wine girl oh tell need know want go take slow make lose control oh yeah long time back back wine girl back back back back back back need one danc got hennessi hand one time fore go higher power take hold need one danc got hennessi hand one time fore go higher power take hold spell hennessi put two ns two se like hen henn henn definit show know hennessi two se sure go take one ns,0.792,0.625,1.0,-5.609,1.0,0.0536,0.00776,0.0018,0.329,0.37,103.967,4.0,0,0.031,0.714,0.255,0.995
Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,2019-10-17,209438,75,0,say oh god see way shine take hand dear place mine know stop dead pass beg see danc one time ooh see see see everi time oh like style make make make want cri beg see danc one time say danc danc danc ohohoh never seen anybodi thing say move move move eheheh done make said oh god see walk take hand dear look eye like monkey dancin whole life beg see danc one time see tone liveget ticket low might also like ooh see see see everi time oh like style make make make want cri beg see danc one time say danc danc danc ohohoh never seen anybodi thing say move move move eheheh done make say danc danc danc ohohoh ohoh ohoh never seen anybodi thing say move move move eheheh done make ooh ooh ooh ooh ooh ohoh ohoh oh ooh ooh ooh ooh oohooh ooh ahah ahah say danc danc danc ohohoh never seen anybodi thing say move move move eheheh done make say danc danc danc ohohoh ohoh ohoh never seen anybodi thing say move move move eheheh done make,0.824,0.588,6.0,-6.4,0.0,0.0924,0.692,0.000104,0.149,0.513,98.027,4.0,1,0.041,0.822,0.137,0.9413
Believer,Imagine Dragons,Evolve,2017-06-23,204346,87,0,first thing first say word insid head fire tire way thing ohooh way thing ohooh second thing second tell think could one sail master sea ohooh master sea ohooh broken young age take sulkin mass write poem look took shook feelin sing heartach pain take messag vein speak lesson brain see beauti pain made made believ believ pain break build believ believ pain oh let bullet fli oh let rain life love drive came pain made made believ believ see imagin dragon liveget ticket low might also like third thing third send prayer one hate heard turn spirit dove ohooh spirit ohooh chokin crowd build rain cloud fall like ash ground hope feel would drown never ever live ebbin flowin inhibit limit til broke open rain rain like pain made made believ believ pain break build believ believ pain oh let bullet fli oh let rain life love drive came pain made made believ believ last thing last grace fire flame face futur blood vein ohooh blood vein ohooh never ever live ebbin flowin inhibit limit til broke open rain rain like pain made made believ believ pain break build believ believ pain oh let bullet fli oh let rain life love drive came pain made made believ believ,0.776,0.78,10.0,-4.374,0.0,0.128,0.0622,0.0,0.081,0.666,124.949,4.0,1,0.261,0.625,0.114,-0.9904
Heat Waves,Glass Animals,Dreamland,2020-08-07,238805,87,0,last night think stop babi walk want babi think know never go lose road shimmer wigglin vision heat heat wave swimmin mirror road shimmer wigglin vision heat heat wave swimmin sometim think late night middl june heat wave fakin make happier sometim think late night middl june heat wave fakin make happier usual put someth tv never think today see reflect clearli hollywood layin screen need better life need someth never give fake water across road gone night come see glass anim liveget ticket low might also like sometim think late night middl june heat wave fakin make happier fight breath say someth love got let go better someon new want alon know hurt look broken cri one say goodby sometim think late night middl june heat wave fakin make happier sometim think late night middl june heat wave fakin make happier wonder dreamin sleep smile comfort wish could give look perfectli unsad sometim think late night middl june heat wave fakin heat wave fakin sometim think late night middl june heat wave fakin make happier sometim think late night middl june heat wave fakin make happier road shimmer wigglin vision heat heat wave swimmin mirror road shimmer wigglin vision heat heat wave swimmin mirroremb,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,1,0.053,0.71,0.237,0.9912
Perfect,Ed Sheeran,÷ (Deluxe),2017-03-03,263400,87,0,found love oh darlin dive right follow lead well found girl beauti sweet oh never knew someon waitin kid fell love knowin give time darlin kiss slow heart eye holdin mine babi dancin dark arm barefoot grass listenin favourit song said look mess whisper underneath breath heard darlin look perfect tonight well found woman stronger anyon know share dream hope someday share home found love carri secret carri love carri children see ed sheeran liveget ticket low might also like still kid love fightin odd know alright time darlin hold hand girl man see futur eye babi dancin dark arm barefoot grass listenin favourit song saw dress lookin beauti deserv darlin look perfect tonight mm babi dancin dark arm barefoot grass oh listenin favourit song faith see know met angel person look perfect deserv look perfect tonight,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,3.0,0,0.036,0.583,0.38,0.9964
